Company,URL
Top 37 Chicago Private Equity Firms   Axial,https://www.axial.net/forum/companies/chicago-private-equity-firms/
Top 10 Private Equity Firms in Chicgao   Dakota,https://www.dakota.com/resources/blog/top-10-private-equity-firms-in-chicgao
Kinzie Capital Partners: Chicago Private Equity Firm,https://www.kinziecp.com/
GTCR Chicago Private Equity Firm,https://www.gtcr.com/
34 Private Equity Firms in Chicago,https://flippa.com/blog/pe-funds/chicago-private-equity-firms/
Private Equity Association of Chicago,https://www.peachicago.com/
New Harbor Capital: Your Chicago Private Equity Firm Partner,https://www.newharborcap.com/
Shore Capital Partners: Home,https://www.shorecp.com/
Chicago PE firms,https://www.wallstreetoasis.com/forum/private-equity/chicago-pe-firms-comprehensive-list-and-tiers
Private equity firms in the Chicago area,https://www.chicagobusiness.com/businessdata/33/private-equity-firms
CIVC Partners   Chicago,https://www.civc.com/
Top Private Equity Companies in Chicago,https://clutch.co/funding-investment/private-equity/chicago
Top Private Equity Firms in Chicago,https://blog.privateequitylist.com/top-private-equity-firms-in-chicago/
