Company,URL
Blackstone Capital,https://www.blackstone.com/the-firm/our-people/
KKR,https://www.kkr.com/about/our-people
Apollo Global Management,https://www.apollo.com/aboutus/leadership-and-people
The Carlyle Group,https://www.carlyle.com/our-people
Bain Capital,https://www.baincapital.com/people
Warburg Pincus,https://warburgpincus.com/team/
General Atlantic,https://www.generalatlantic.com/our-team/?group=investment-team
Silver Lake Partners,https://www.silverlake.com/people/
Hellman & Friedman,https://hf.com/people/
Morgan Stanley Capital Partners,https://www.morganstanley.com/content/imwebev/im/en-us/capital-seeker/about-us/people-and-teams/investment-teams/capital-partners-team-cs.html
BCI,https://www.bci.ca/who-we-are/governance/executive-management/
Thoma Bravo,https://www.thomabravo.com/team
