First Name,Last Name,Title,Company,Profile URL,Team Page
Mark,Anderson,"Managing Director, Head of Technology, Media & Telecommunications",GTCR,https://www.gtcr.com/team/mark-m-anderson/,https://www.gtcr.com/team/
Ryan,Beauchamp,Managing Director,GTCR,https://www.gtcr.com/team/ryan-beauchamp/,https://www.gtcr.com/team/
Jim,Bonetti,"Managing Director, Head of Capital Markets",GTCR,https://www.gtcr.com/team/jim-bonetti/,https://www.gtcr.com/team/
Aaron,Cohen,"Managing Director, Head of Financial Services & Technology",GTCR,https://www.gtcr.com/team/aaron-d-cohen/,https://www.gtcr.com/team/
Sean,Cunningham,"Managing Director, Head of Healthcare",GTCR,https://www.gtcr.com/team/sean-l-cunningham/,https://www.gtcr.com/team/
David,Donnini,"Managing Director, Head of Business & Consumer Services",GTCR,https://www.gtcr.com/team/david-a-donnini/,https://www.gtcr.com/team/
Tom,Ehrhart,Managing Director,GTCR,https://www.gtcr.com/team/tom-ehrhart/,https://www.gtcr.com/team/
Jeffrey,Heh,Managing Director,GTCR,https://www.gtcr.com/team/jeffrey-b-heh/,https://www.gtcr.com/team/
Michael,Hollander,Managing Director,GTCR,https://www.gtcr.com/team/michael-s-hollander/,https://www.gtcr.com/team/
Stephen,Jeschke,Managing Director,GTCR,https://www.gtcr.com/team/stephen-j-jeschke/,https://www.gtcr.com/team/
John,Kos,Managing Director,GTCR,https://www.gtcr.com/team/john-d-kos/,https://www.gtcr.com/team/
Travis,Krueger,Managing Director,GTCR,https://www.gtcr.com/team/travis-j-krueger/,https://www.gtcr.com/team/
Luke,Marker,Managing Director,GTCR,https://www.gtcr.com/team/luke-marker/,https://www.gtcr.com/team/
Stephen,Master,Managing Director,GTCR,https://www.gtcr.com/team/stephen-p-master/,https://www.gtcr.com/team/
Don,McDonough,"Managing Director, Business Development",GTCR,https://www.gtcr.com/team/don-mcdonough/,https://www.gtcr.com/team/
Constantine,Mihas,Co-CEO and Managing Director,GTCR,https://www.gtcr.com/team/constantine-s-mihas/,https://www.gtcr.com/team/
Jason,Prager,Managing Director,GTCR,https://www.gtcr.com/team/jason-prager/,https://www.gtcr.com/team/
Collin,Roche,Co-CEO and Managing Director,GTCR,https://www.gtcr.com/team/collin-e-roche/,https://www.gtcr.com/team/
Jodi,Rubenstein,"Managing Director, Investor Relations",GTCR,https://www.gtcr.com/team/jodi-rubenstein/,https://www.gtcr.com/team/
Joe,Rubino,Chief Information Security Officer and Managing Director,GTCR,https://www.gtcr.com/team/joe-rubino/,https://www.gtcr.com/team/
Andrew,Sagat,Managing Director,GTCR,https://www.gtcr.com/team/andrew-sagat/,https://www.gtcr.com/team/
Mark,Springer,"Managing Director, Chief Accounting Officer",GTCR,https://www.gtcr.com/team/mark-a-springer/,https://www.gtcr.com/team/
Peg,Sullivan,Chief Human Resources Officer,GTCR,https://www.gtcr.com/team/peg-sullivan/,https://www.gtcr.com/team/
Anna,May Trala,Chief Financial Officer and Managing Director,GTCR,https://www.gtcr.com/team/anna-may-l-trala/,https://www.gtcr.com/team/
Jeffrey,Wright,"Managing Director, Chief Legal Officer and Chief Compliance Officer",GTCR,https://www.gtcr.com/team/jeffrey-s-wright/,https://www.gtcr.com/team/
Faraz,Ahmed,Principal and Head of Information Technology,GTCR,https://www.gtcr.com/team/faraz-ahmed/,https://www.gtcr.com/team/
Responsible,Investing,,Madison Dearborn Partners,https://www.mdcp.com/about/responsible-investing,https://www.mdcp.com/about/engaged-partners
All,Sectors,,Madison Dearborn Partners,https://www.mdcp.com/sectors,https://www.mdcp.com/about/engaged-partners
Basic,Industries,,Madison Dearborn Partners,https://www.mdcp.com/sectors/basic-industries,https://www.mdcp.com/about/engaged-partners
Financial,Services,,Madison Dearborn Partners,https://www.mdcp.com/sectors/financial-transaction-services,https://www.mdcp.com/about/engaged-partners
Terms,of Use,,Madison Dearborn Partners,https://www.mdcp.com/terms-of-use,https://www.mdcp.com/about/engaged-partners
Privacy,Policy,,Madison Dearborn Partners,https://www.mdcp.com/privacy,https://www.mdcp.com/about/engaged-partners
Strongly,Aligned,"The MDP team is one of the largest investors in its current investment fund, strongly aligning our interests with those of our limited partners.",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Working,Together,"The long-shared tenure among many of the investment professionals, combined with the firm’s cohesive and inclusive decision making process, partnership approach and single office in Chicago, creates a distinctive culture which we believe has been a significant contributor to our success over the years.",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Geographic,expansion,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Industry,consolidation,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Organic,growth initiatives,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Shift,or broadening of product/service offerings,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Operational,Initiatives,Sales force initiatives,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Productivity,improvements,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Cost,management,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Pricing,optimization,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Management,enhancement,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
"Finance,",reporting and budgeting enhancements,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Dominic,Addesso,"Former President and CEO, Everest Re Group, Ltd.",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
John,Amboian,"Chairman and CEO, Nuveen Investments",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
William,Brodsky,"Chairman, Chicago Board Options Exchange (CBOE)",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Scott,Brown,"Former Chief Executive Officer, Sage Products",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Sloan,Cardy,"Former Chief Executive Officer, FinThrive",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Dennis,Chookaszian,"Former Chairman and CEO, CNA Insurance Companies",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Angela,Cinefro,"President, Ankura",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Kevin,Costello,"Former President, Ariba",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Kent,Davies,"Former President & Chief Operating Officer, PDI",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Robert,DeCresce,"M.D., Chairman of the Dept. of Pathology, Rush Medical College",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Jim,Denny,"Founder and former CEO, Navicure (Waystar)",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Shawn,DeSantis,"President & CEO, Nacavord Inc.",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Jim,Dugan,"Founder & Managing Partner, OCA Ventures",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Charles,Edelstein,"Former Co-CEO, Apollo Education Group",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Gerald,"""J.P."" Gallagher","President and CEO, Endeavor Health",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Robert,Giammarco,Chairman and CEO of The Amynta Group,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Chris,Giglio,"Former Chief Executive Officer, Aderant",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Steve,Guenthner,CEO of CareRing Health,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Nancy,Ham,"Former CEO, WebPT",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Steve,Hamman,"Former President, Blue Cross Blue Shield of Illinois",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Doug,Hammond,"Chairman and CEO, NFP",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Michael,Hyatt,"Co-Founder, BlueCat",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Joseph,Kampf,"Co-Founder, Chairman and CEO, CoVant",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Barry,Malkin,"CEO, Carnegie Learning",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Siddharth,Mehta,"Former CEO and President, TransUnion",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Martin,Mucci,"Chief Executive Officer, Paychex, Inc.",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Eileen,Murphy,Founder and former CEO - ThinkCERCA,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
James,Prieur,"Former CEO, CNO Financial Group",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Brian,Raduenz,"Co-Founder & Chief Executive Officer, AEVEX Aerospace",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Kermit,Randa,"Former CEO, Syntellis & Kaufman Hall Software",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
David,Ross,"CEO, The Ardonagh Group",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Jai,Shekhawat,"Founder and former Chief Executive Officer, Fieldglass",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Mark,Thierer,"CEO, Waltz Health",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Brian,Thomas,"Co-Founder, President & CEO, Lightspeed Systems",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Frederick,Waddell,"Retired Chairman and Chief Executive Officer, Northern Trust",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Alan,Wheatley,"Former President, Humana",Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
Limited,Partner Login,,Madison Dearborn Partners,https://services.sungarddx.com,https://www.mdcp.com/about/engaged-partners
All,rights reserved.,,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
When,"you visit our website, we store cookies on your browser to collect information. The information collected might relate to you, your preferences or your device, and is mostly used to make the site work as you expect it to and to provide a more personalized web experience. However, you can choose not to allow certain types of cookies, which may impact your experience of the site and the services we are able to offer. Click on the different category headings to find out more and change our default settings according to your preference. You cannot opt-out of our First Party Strictly Necessary Cookies as they are deployed in order to ensure the proper functioning of our website (such as prompting the cookie banner and remembering your settings, to log into your account, to redirect you when you log out, etc.). For more information about the First and Third Party Cookies used please follow this link.",More information,Madison Dearborn Partners,https://cookiepedia.co.uk/giving-consent-to-cookies,https://www.mdcp.com/about/engaged-partners
Manage,"Consent PreferencesStrictly Necessary CookiesAlways ActiveThese cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",,Madison Dearborn Partners,,https://www.mdcp.com/about/engaged-partners
